855,"Men's Bib-Shorts, S",Bib-Shorts,89.99
856,"Men's Bib-Shorts, M",Bib-Shorts,89.99
857,"Men's Bib-Shorts, L",Bib-Shorts,89.99
876,Hitch Rack - 4-Bike,Bike Racks,120.00
879,All-Purpose Bike Stand,Bike Stands,159.00
871,Mountain Bottle Cage,Bottles and Cages,9.99
872,Road Bottle Cage,Bottles and Cages,8.99
870,Water Bottle - 30 oz.,Bottles and Cages,4.99
996,HL Bottom Bracket,Bottom Brackets,121.49
995,ML Bottom Bracket,Bottom Brackets,101.24
994,LL Bottom Bracket,Bottom Brackets,53.99
948,Front Brakes,Brakes,106.50
907,Rear Brakes,Brakes,106.50
712,AWC Logo Cap,Caps,8.99
952,Chain,Chains,20.24
877,Bike Wash - Dissolver,Cleaners,7.95
951,HL Crankset,Cranksets,404.99
950,ML Crankset,Cranksets,256.49
949,LL Crankset,Cranksets,175.49
894,Rear Derailleur,Derailleurs,121.46
945,Front Derailleur,Derailleurs,91.49
878,Fender Set - Mountain,Fenders,21.98
804,HL Fork,Forks,229.49
803,ML Fork,Forks,175.49
802,LL Fork,Forks,148.22
861,"Full-Finger Gloves, S",Gloves,37.99
862,"Full-Finger Gloves, M",Gloves,37.99
863,"Full-Finger Gloves, L",Gloves,37.99
813,HL Road Handlebars,Handlebars,120.27
810,HL Mountain Handlebars,Handlebars,120.27
947,HL Touring Handlebars,Handlebars,91.57
807,HL Headset,Headsets,124.73
806,ML Headset,Headsets,102.29
805,LL Headset,Headsets,34.20
711,"Sport-100 Helmet, Blue",Helmets,34.99
707,"Sport-100 Helmet, Red",Helmets,34.99
708,"Sport-100 Helmet, Black",Helmets,34.99
880,Hydration Pack - 70 oz.,Hydration Packs,54.99
881,"Short-Sleeve Classic Jersey, S",Jerseys,53.99
882,"Short-Sleeve Classic Jersey, M",Jerseys,53.99
883,"Short-Sleeve Classic Jersey, L",Jerseys,53.99
884,"Short-Sleeve Classic Jersey, XL",Jerseys,53.99
848,Headlights - Weatherproof,Lights,44.99
847,Headlights - Dual-Beam,Lights,34.99
846,Taillights - Battery-Powered,Lights,13.99
843,Cable Lock,Locks,25.00
771,"Mountain-100 Silver, 38",Mountain Bikes,3399.99
772,"Mountain-100 Silver, 42",Mountain Bikes,3399.99
773,"Mountain-100 Silver, 44",Mountain Bikes,3399.99
774,"Mountain-100 Silver, 48",Mountain Bikes,3399.99
748,"HL Mountain Frame - Silver, 38",Mountain Frames,1364.50
739,"HL Mountain Frame - Silver, 42",Mountain Frames,1364.50
740,"HL Mountain Frame - Silver, 44",Mountain Frames,1364.50
741,"HL Mountain Frame - Silver, 48",Mountain Frames,1364.50
742,"HL Mountain Frame - Silver, 46",Mountain Frames,1364.50
842,"Touring-Panniers, Large",Panniers,125.00
937,HL Mountain Pedal,Pedals,80.99
940,HL Road Pedal,Pedals,80.99
941,Touring Pedal,Pedals,80.99
845,Mountain Pump,Pumps,24.99
844,Minipump,Pumps,19.99
749,"Road-150 Red, 62",Road Bikes,3578.27
750,"Road-150 Red, 44",Road Bikes,3578.27
751,"Road-150 Red, 48",Road Bikes,3578.27
752,"Road-150 Red, 52",Road Bikes,3578.27
753,"Road-150 Red, 56",Road Bikes,3578.27
837,"HL Road Frame - Black, 62",Road Frames,1431.50
838,"HL Road Frame - Black, 44",Road Frames,1431.50
839,"HL Road Frame - Black, 48",Road Frames,1431.50
840,"HL Road Frame - Black, 52",Road Frames,1431.50
680,"HL Road Frame - Black, 58",Road Frames,1431.50
706,"HL Road Frame - Red, 58",Road Frames,1431.50
717,"HL Road Frame - Red, 62",Road Frames,1431.50
718,"HL Road Frame - Red, 44",Road Frames,1431.50
719,"HL Road Frame - Red, 48",Road Frames,1431.50
720,"HL Road Frame - Red, 52",Road Frames,1431.50
721,"HL Road Frame - Red, 56",Road Frames,1431.50
910,HL Mountain Seat/Saddle,Saddles,52.64
913,HL Road Seat/Saddle,Saddles,52.64
916,HL Touring Seat/Saddle,Saddles,52.64
867,"Women's Mountain Shorts, S",Shorts,69.99
868,"Women's Mountain Shorts, M",Shorts,69.99
869,"Women's Mountain Shorts, L",Shorts,69.99
709,"Mountain Bike Socks, M",Socks,9.50
710,"Mountain Bike Socks, L",Socks,9.50
874,"Racing Socks, M",Socks,8.99
875,"Racing Socks, L",Socks,8.99
852,"Women's Tights, S",Tights,74.99
853,"Women's Tights, M",Tights,74.99
854,"Women's Tights, L",Tights,74.99
930,HL Mountain Tire,Tires and Tubes,35.00
933,HL Road Tire,Tires and Tubes,32.60
929,ML Mountain Tire,Tires and Tubes,29.99
966,"Touring-1000 Blue, 46",Touring Bikes,2384.07
967,"Touring-1000 Blue, 50",Touring Bikes,2384.07
968,"Touring-1000 Blue, 54",Touring Bikes,2384.07
969,"Touring-1000 Blue, 60",Touring Bikes,2384.07
954,"Touring-1000 Yellow, 46",Touring Bikes,2384.07
955,"Touring-1000 Yellow, 50",Touring Bikes,2384.07
956,"Touring-1000 Yellow, 54",Touring Bikes,2384.07
957,"Touring-1000 Yellow, 60",Touring Bikes,2384.07
885,"HL Touring Frame - Yellow, 60",Touring Frames,1003.91
887,"HL Touring Frame - Yellow, 46",Touring Frames,1003.91
888,"HL Touring Frame - Yellow, 50",Touring Frames,1003.91
889,"HL Touring Frame - Yellow, 54",Touring Frames,1003.91
890,"HL Touring Frame - Blue, 46",Touring Frames,1003.91
891,"HL Touring Frame - Blue, 50",Touring Frames,1003.91
892,"HL Touring Frame - Blue, 54",Touring Frames,1003.91
893,"HL Touring Frame - Blue, 60",Touring Frames,1003.91
864,"Classic Vest, S",Vests,63.50
865,"Classic Vest, M",Vests,63.50
866,"Classic Vest, L",Vests,63.50
828,HL Road Rear Wheel,Wheels,357.06
820,HL Road Front Wheel,Wheels,330.06
825,HL Mountain Rear Wheel,Wheels,327.215
